Potential ID Prefixes:

  uniq   occur  word             strings
    31      41  wa               {'wa-194', 'wa-259', 'wa-339', 'wa-231', 'wa-204', 'wa-373', 'wa-201', 'wa-170', 'wa-174', 'wa-249', 'wa-175', 'wa-377', 'wa-199', 'wa-176', 'wa-401', 'wa-212', 'wa-378', 'wa-242', 'wa-390', 'wa-391', 'wa-218', 'wa-254', 'wa-239', 'wa-227', 'wa-179', 'wa-398', 'wa-223', 'wa-185', 'wa-182', 'wa-370', 'wa-404', 'wa-224', 'wa273', 'wa-349', 'wa-207', 'wa-189', 'wa-208', 'wa-433', 'wa-393', 'wa-238', 'wa-203'}
    31       6  bd               {'bd02502', 'bd25', 'bd-001', 'bd02424', 'bd50', 'bd02496'}
    28      28  rd               {'rd-1001', 'rd-909', 'rd-1003', '149rd00651', 'rd-776', 'rd-987', 'rd-845', 'rd-986', 'rd-940', 'rd-1002', 'rd-1007', 'rd-849', 'rd-902', 'rd-880', 'rd-830', 'rd-910', 'rd-989', 'rd-904', 'rd-911', 'rd-1008', 'rd-1010', 'rd-900', 'rd-856', 'rd-990', 'rd-1009', 'rd-1006', 'rd-899', 'rd-988'}
    26     123  bt               {'bt372', 'bt322', 'bt274', 'bt434', 'bt425', 'bt388', 'bt393', 'bt-160', 'bt273', 'bt-109', 'bt253', 'bt417', 'bt252', 'bt364', 'bt385', 'bt346', 'bt251', 'bt421', 'bt371', 'bt375', 'bt323', 'bt363', 'bt341', 'bt432', 'bt367', 'bt394', 'bt313', 'bt-133', 'bt321', 'bt-108', 'bt374', 'bt-20', 'bt354', 'bt302', 'bt301', 'bt431', 'bt282', 'bt382', 'bt343', 'bt355', 'bt-137', 'bt333', 'bt381', 'bt-43', 'bt406', 'bt326', 'bt422', 'bt272', 'bt404', 'bt411', 'bt401', 'bt373', 'bt389', 'bt241', 'bt-03', 'bt416', 'bt351', 'bt-134', 'bt325', 'bt387', 'bt284', 'bt402', 'bt427', 'bt-167', 'bt-136', 'bt-120', 'bt426', 'bt261', 'bt352', 'bt366', 'bt294', 'bt345', 'bt262', 'bt413', 'bt263', 'bt334', 'bt271', 'bt-115', 'bt365', 'bt281', 'bt-158', 'bt331', 'bt423', 'bt303', 'bt-112', 'bt-140', 'bt415', 'bt324', 'bt332', 'bt283', 'bt344', 'bt412', 'bt312', 'bt414', 'bt376', 'bt304', 'bt291', 'bt391', 'bt-113', 'bt386', 'bt-139', 'bt-165', 'bt435', 'bt335', 'bt362', 'bt-28', 'bt-88', 'bt424', 'bt395', 'bt392', 'bt383', 'bt384', 'bt342', 'bt433', 'bt292', 'bt243', 'bt405', 'bt293', 'bt305', 'bt361', 'bt336', 'bt403', 'bt311'}
    24      24  japan            {'japan_211', 'japan_202', 'japan_213', 'japan_224', 'japan_216', 'japan_218', 'japan_209', 'japan 76', 'japan_210', 'japan_206', 'japan_205', 'japan_222', 'japan_221', 'japan_214', 'japan_201', 'japan_217', 'japan_219', 'japan_220', 'japan_215', 'japan_223', 'japan_203', 'japan_212', 'japan_207', 'japan_208'}
    21      21  kitaike          {'kitaike-454', 'kitaike-466', 'kitaike-461', 'kitaike-468', '276kitaike-469', 'kitaike-465', 'kitaike-460', 'kitaike-467', 'kitaike-470', 'kitaike-455', '276kitaike-451', 'kitaike-458', 'kitaike-457', 'kitaike-472', 'kitaike-473', 'kitaike-453', 'kitaike-459', '276kitaike-471', '276kitaike-217', 'kitaike-452', 'kitaike-456'}
    21      21  apt              {'apt-035', 'apt-019', 'apt-063', 'apt-041', 'apt-036', 'apt-015', 'apt-002', 'apt-021', 'apt-009', 'apt-017', 'apt-043', 'apt-026', 'apt-051', 'apt-053', 'apt-038', 'apt-039', 'apt-052', 'apt-008', 'apt-003', 'apt-007', 'apt-065'}
    20      35  no               {'no14', 'no12', 'no28', 'no22', 'no924', 'no25', 'no36', 'no957', 'no99', 'no05', 'no00363', 'no04', 'no08', 'no29', 'no00379', 'no986', 'no11', 'no03', 'no39', 'no0038', 'no26', 'no945', 'no980', 'no42', 'no00371', 'no10', 'no13', 'no30', 'no00444', 'no264', 'no737', 'no042', 'no 00264', 'no701', 'no40'}
    19      17  jan              {'jan-022', 'jan018', 'jan-015', 'jan020', 'jan 2020', 'jan 2018', 'jan-011', 'jan-023', '118jan00020', 'jan-006', 'jan-020', 'jan011', 'jan-003', 'jan015', 'jan-002', 'jan-010', 'jan-017'}
    18      18  lcdv             {'lcdv-24003', 'lcdv-40702', 'lcdv-40557', 'lcdv-40530', 'lcdv-40652', 'lcdv-20071', 'lcdv-40570', 'lcdv-40509', 'lcdv-40586', 'lcdv-40499', 'lcdv-40527', 'lcdv-40489', 'lcdv-40391', 'lcdv-40676', 'lcdv-40502', 'lcdv-40587', 'lcdv-40687', 'lcdv-40832'}
